	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00574992	5	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00577488	5	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00579568	5	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00579568	5	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00582912	5	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00584992	5	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00584992	5	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00587488	5	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00589568	5	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00589568	5	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00592912	5	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00594992	5	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00594992	5	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00597488	5	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00599568	5	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00599568	5	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00602912	6	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00604992	6	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00604992	6	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00607488	6	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00609568	6	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00609568	6	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00612912	6	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00614992	6	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00614992	6	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00617488	6	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00619568	6	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00619568	6	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00622912	6	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00624992	6	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00624992	6	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00627488	6	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00629568	6	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00629568	6	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00632912	6	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00634992	6	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00634992	6	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00637488	6	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00639568	6	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00639568	6	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00642912	6	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
