	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0274499	27	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0274499	27	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0274749	27	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0274957	27	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0274957	27	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0275291	27	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0275499	27	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0275499	27	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0275749	27	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0275957	27	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0275957	27	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0276291	27	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0276499	27	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0276499	27	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0276749	27	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0276957	27	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0276957	27	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0277291	27	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0277499	27	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0277499	27	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0277749	27	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0277957	27	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0277957	27	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0278291	27	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0278499	27	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0278499	27	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0278749	27	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0278957	27	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0278957	27	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0279291	27	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0279499	27	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0279499	27	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0279749	27	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0279957	27	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0279957	27	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0280291	28	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0280499	28	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0280499	28	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0280749	28	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0280957	28	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0280957	28	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0281291	28	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0281499	28	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0281499	28	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0281749	28	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0281957	28	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0281957	28	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0282291	28	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0282499	28	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0282499	28	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0282749	28	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0282957	28	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0282957	28	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0283291	28	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0283499	28	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0283499	28	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0283749	28	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0283957	28	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0283957	28	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0284291	28	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0284499	28	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0284499	28	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0284749	28	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0284957	28	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0284957	28	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0285291	28	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0285499	28	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0285499	28	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0285749	28	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0285957	28	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0285957	28	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0286291	28	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0286499	28	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0286499	28	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0286749	28	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0286957	28	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0286957	28	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0287291	28	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0287499	28	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0287499	28	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0287749	28	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0287957	28	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0287957	28	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0288291	28	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0288499	28	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0288499	28	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0288749	28	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0288957	28	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0288957	28	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0289291	28	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0289499	28	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0289499	28	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0289749	28	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0289957	28	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0289957	28	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0290291	29	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0290499	29	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0290499	29	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0290749	29	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0290957	29	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0290957	29	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0291291	29	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0291499	29	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0291499	29	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0291749	29	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0291957	29	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0291957	29	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0292291	29	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0292499	29	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0292499	29	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0292749	29	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0292957	29	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0292957	29	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0293291	29	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0293499	29	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0293499	29	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0293749	29	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0293957	29	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0293957	29	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0294291	29	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0294499	29	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0294499	29	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0294749	29	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0294957	29	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0294957	29	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0295291	29	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0295499	29	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0295499	29	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0295749	29	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0295957	29	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0295957	29	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0296291	29	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0296499	29	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0296499	29	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0296749	29	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0296957	29	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0296957	29	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0297291	29	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0297499	29	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0297499	29	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0297749	29	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0297957	29	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0297957	29	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0298291	29	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0298499	29	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0298499	29	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0298749	29	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0298957	29	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0298957	29	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0299291	29	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0299499	29	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0299499	29	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0299749	29	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0299957	29	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0299957	29	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0300291	30	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0300499	30	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0300499	30	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0300749	30	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0300957	30	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0300957	30	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0301291	30	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0301499	30	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0301499	30	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0301749	30	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0301957	30	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0301957	30	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0302291	30	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0302499	30	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0302499	30	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0302749	30	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0302957	30	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0302957	30	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0303291	30	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0303499	30	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0303499	30	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0303749	30	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0303957	30	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0303957	30	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0304291	30	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0304499	30	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0304499	30	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0304749	30	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0304957	30	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0304957	30	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0305291	30	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0305499	30	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0305499	30	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0305749	30	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0305957	30	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0305957	30	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0306291	30	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0306499	30	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0306499	30	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0306749	30	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0306957	30	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0306957	30	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0307291	30	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0307499	30	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0307499	30	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0307749	30	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0307957	30	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0307957	30	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0308291	30	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0308499	30	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0308499	30	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0308749	30	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0308957	30	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0308957	30	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0309291	30	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0309499	30	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0309499	30	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0309749	30	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0309957	30	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0309957	30	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0310291	31	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0310499	31	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0310499	31	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0310749	31	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0310957	31	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0310957	31	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0311291	31	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0311499	31	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0311499	31	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0311749	31	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0311957	31	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0311957	31	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0312291	31	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0312499	31	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0312499	31	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0312749	31	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0312957	31	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0312957	31	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0313291	31	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0313499	31	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0313499	31	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0313749	31	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0313957	31	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0313957	31	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0314291	31	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0314499	31	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0314499	31	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0314749	31	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0314957	31	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0314957	31	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0315291	31	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0315499	31	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0315499	31	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0315749	31	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0315957	31	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0315957	31	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0316291	31	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0316499	31	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0316499	31	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0316749	31	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0316957	31	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0316957	31	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0317291	31	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0317499	31	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0317499	31	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0317749	31	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0317957	31	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0317957	31	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0318291	31	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0318499	31	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0318499	31	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0318749	31	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0318957	31	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0318957	31	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0319291	31	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0319499	31	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0319499	31	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0319749	31	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0319957	31	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0319957	31	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0320291	32	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0320499	32	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0320499	32	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0320749	32	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0320957	32	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0320957	32	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0321291	32	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0321499	32	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0321499	32	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0321749	32	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0321957	32	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0321957	32	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0322291	32	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0322499	32	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0322499	32	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0322749	32	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0322957	32	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0322957	32	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0323291	32	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0323499	32	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0323499	32	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0323749	32	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0323957	32	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0323957	32	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0324291	32	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0324499	32	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0324499	32	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0324749	32	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.0324957	32	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0324957	32	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.0325291	32	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.0325499	32	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0325499	32	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.0325749	32	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.0325957	32	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.0325957	32	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.0326291	32	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.0326499	32	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.0326499	32	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.0326749	32	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
